Age,Annual_Income_INR,State,Category,Eligible_Scheme
78,828059,Maharashtra,OBC,Atal Pension Yojana
63,471396,Gujarat,SC,Atal Pension Yojana
24,378074,West Bengal,General,National Scholarship
77,615192,Maharashtra,ST,Atal Pension Yojana
53,690416,Uttar Pradesh,General,National Scholarship
24,743613,Karnataka,SC,National Scholarship
52,438969,Rajasthan,SC,Atal Pension Yojana
71,785235,Bihar,SC,Atal Pension Yojana
73,855572,Karnataka,EWS,Atal Pension Yojana
41,253955,Rajasthan,General,PM Kisan
46,224984,Uttar Pradesh,SC,Mudra Loan
57,191999,West Bengal,SC,PM Awas Yojana
43,158612,West Bengal,EWS,PM Awas Yojana
67,511033,Karnataka,SC,Atal Pension Yojana
20,1176906,West Bengal,EWS,Mudra Loan
59,1196547,Uttar Pradesh,General,Atal Pension Yojana
38,852610,Rajasthan,OBC,Atal Pension Yojana
79,1167617,Uttar Pradesh,EWS,Atal Pension Yojana
71,231846,Uttar Pradesh,ST,Atal Pension Yojana
77,881816,Maharashtra,SC,Atal Pension Yojana
51,1044895,Uttar Pradesh,OBC,Atal Pension Yojana
30,951413,Rajasthan,SC,PM Kisan
38,589186,Uttar Pradesh,General,Ayushman Bharat
76,1109269,West Bengal,General,Atal Pension Yojana
20,188516,Madhya Pradesh,ST,PM Kisan
33,133719,Gujarat,EWS,PM Kisan
34,1070148,Uttar Pradesh,ST,National Scholarship
44,283374,Madhya Pradesh,OBC,National Scholarship
77,515164,Maharashtra,ST,Atal Pension Yojana
33,912352,Madhya Pradesh,OBC,Ayushman Bharat
51,232417,Tamil Nadu,SC,PM Awas Yojana
23,79865,Rajasthan,EWS,Ayushman Bharat
44,1173692,Gujarat,SC,Stand Up India
78,417149,Rajasthan,OBC,Atal Pension Yojana
52,563046,Rajasthan,EWS,Ayushman Bharat
66,1179372,Madhya Pradesh,General,Atal Pension Yojana
44,97605,Tamil Nadu,EWS,PM Awas Yojana
71,615840,West Bengal,OBC,Atal Pension Yojana
41,281876,Rajasthan,OBC,Mudra Loan
34,842624,Maharashtra,EWS,Mudra Loan
64,705079,West Bengal,General,Atal Pension Yojana
48,664653,Maharashtra,General,Ayushman Bharat
46,967733,Gujarat,General,Ayushman Bharat
61,697533,Tamil Nadu,ST,Atal Pension Yojana
45,260441,Rajasthan,General,Stand Up India
38,932746,Rajasthan,EWS,Atal Pension Yojana
62,858154,Maharashtra,SC,Atal Pension Yojana
28,116935,Bihar,ST,PM Awas Yojana
29,139748,Madhya Pradesh,General,Ayushman Bharat
44,639643,Rajasthan,SC,National Scholarship
74,939894,Rajasthan,OBC,Atal Pension Yojana
54,1176465,Madhya Pradesh,General,Stand Up India
69,1123450,Bihar,EWS,Atal Pension Yojana
24,256718,Gujarat,EWS,Mudra Loan
60,541101,Madhya Pradesh,OBC,Atal Pension Yojana
18,410992,Tamil Nadu,EWS,Mudra Loan
52,427433,Uttar Pradesh,OBC,Stand Up India
28,277591,Madhya Pradesh,OBC,National Scholarship
24,401180,West Bengal,SC,Mudra Loan
50,527938,Madhya Pradesh,OBC,PM Awas Yojana
25,145489,Madhya Pradesh,OBC,Ayushman Bharat
45,1084727,Tamil Nadu,ST,National Scholarship
80,627325,Gujarat,General,Atal Pension Yojana
80,950328,Uttar Pradesh,SC,Atal Pension Yojana
53,724377,Karnataka,EWS,Ayushman Bharat
67,421398,Rajasthan,ST,Atal Pension Yojana
24,1052721,Uttar Pradesh,ST,National Scholarship
25,1149489,Madhya Pradesh,OBC,Mudra Loan
19,505810,West Bengal,General,Mudra Loan
48,983853,Karnataka,OBC,PM Kisan
42,496285,Maharashtra,General,National Scholarship
37,174967,Rajasthan,General,PM Awas Yojana
66,721795,Bihar,ST,Atal Pension Yojana
60,1191002,Bihar,SC,Atal Pension Yojana
61,79006,West Bengal,SC,PM Kisan
41,410298,Maharashtra,OBC,Mudra Loan
40,89053,Uttar Pradesh,OBC,Ayushman Bharat
58,502438,Maharashtra,EWS,Atal Pension Yojana
22,203416,Bihar,OBC,National Scholarship
60,1056936,Karnataka,EWS,Atal Pension Yojana
19,1055281,Uttar Pradesh,ST,Mudra Loan
29,81180,Madhya Pradesh,General,Ayushman Bharat
37,1033098,Madhya Pradesh,EWS,PM Kisan
32,95212,Maharashtra,General,PM Kisan
47,665281,Madhya Pradesh,ST,PM Awas Yojana
62,752215,Gujarat,OBC,Atal Pension Yojana
75,763971,Karnataka,General,Atal Pension Yojana
70,602566,Gujarat,OBC,Atal Pension Yojana
70,1192366,Bihar,OBC,Atal Pension Yojana
68,590427,Karnataka,OBC,Atal Pension Yojana
48,162558,Madhya Pradesh,General,PM Awas Yojana
28,401752,Gujarat,EWS,National Scholarship
34,259698,Madhya Pradesh,EWS,National Scholarship
71,879295,Madhya Pradesh,EWS,Atal Pension Yojana
80,53107,Maharashtra,ST,Ayushman Bharat
34,616634,Uttar Pradesh,OBC,Atal Pension Yojana
32,870208,Gujarat,EWS,Ayushman Bharat
38,497871,Rajasthan,SC,Atal Pension Yojana
27,622341,Maharashtra,General,National Scholarship
68,548115,Madhya Pradesh,SC,Atal Pension Yojana
68,127407,Rajasthan,General,PM Kisan
21,1066217,Maharashtra,ST,National Scholarship
39,167602,Tamil Nadu,OBC,Ayushman Bharat
60,578328,Uttar Pradesh,OBC,Atal Pension Yojana
46,664127,Madhya Pradesh,General,Mudra Loan
28,1037042,Bihar,SC,National Scholarship
40,373622,Karnataka,ST,Atal Pension Yojana
48,936818,West Bengal,OBC,Mudra Loan
76,579133,Uttar Pradesh,EWS,Atal Pension Yojana
33,86141,Tamil Nadu,SC,PM Kisan
68,603633,Gujarat,General,Atal Pension Yojana
30,1069825,Gujarat,ST,Ayushman Bharat
40,959017,Maharashtra,General,Stand Up India
75,883349,Uttar Pradesh,EWS,Atal Pension Yojana
74,410579,Karnataka,General,Atal Pension Yojana
64,954021,Bihar,EWS,Atal Pension Yojana
68,764940,Bihar,General,Atal Pension Yojana
45,424315,Gujarat,OBC,PM Kisan
77,1006748,Bihar,ST,Atal Pension Yojana
62,570944,Rajasthan,General,Atal Pension Yojana
29,504051,Uttar Pradesh,ST,Mudra Loan
34,395633,Rajasthan,General,National Scholarship
40,1071906,Tamil Nadu,General,Ayushman Bharat
27,265644,Uttar Pradesh,SC,National Scholarship
60,758732,Madhya Pradesh,General,Atal Pension Yojana
44,861987,Madhya Pradesh,EWS,Atal Pension Yojana
59,829541,Maharashtra,EWS,Atal Pension Yojana
20,1122014,Madhya Pradesh,EWS,Mudra Loan
53,1186507,Karnataka,EWS,Stand Up India
35,964103,Maharashtra,EWS,Stand Up India
52,923518,Bihar,OBC,Mudra Loan
21,808067,Tamil Nadu,General,Mudra Loan
57,192832,Uttar Pradesh,SC,PM Awas Yojana
80,736371,Bihar,ST,Atal Pension Yojana
49,422450,West Bengal,General,National Scholarship
43,598399,West Bengal,General,Atal Pension Yojana
38,248994,Madhya Pradesh,ST,Atal Pension Yojana
30,773271,Karnataka,ST,Mudra Loan
62,1000031,Madhya Pradesh,ST,Atal Pension Yojana
50,242900,Gujarat,SC,National Scholarship
65,111191,Uttar Pradesh,SC,PM Kisan
48,356737,Maharashtra,OBC,Stand Up India
20,459222,Rajasthan,General,Mudra Loan
63,1116948,Tamil Nadu,General,Atal Pension Yojana
43,371859,Uttar Pradesh,SC,Atal Pension Yojana
57,323479,West Bengal,OBC,Atal Pension Yojana
39,182003,Maharashtra,General,PM Kisan
45,759375,Bihar,OBC,Ayushman Bharat
26,583422,West Bengal,ST,National Scholarship
69,503549,Bihar,ST,Atal Pension Yojana
27,457646,Uttar Pradesh,OBC,Mudra Loan
57,482168,Bihar,General,Atal Pension Yojana
48,822228,Maharashtra,General,PM Kisan
42,450088,Madhya Pradesh,SC,Stand Up India
21,344124,West Bengal,General,National Scholarship
35,223978,West Bengal,ST,PM Kisan
60,869196,Tamil Nadu,SC,Atal Pension Yojana
48,975640,Madhya Pradesh,EWS,PM Kisan
79,548656,Uttar Pradesh,SC,Atal Pension Yojana
28,85130,West Bengal,General,PM Awas Yojana
55,661755,Madhya Pradesh,ST,Stand Up India
24,1063386,Tamil Nadu,EWS,National Scholarship
40,85051,Maharashtra,EWS,Ayushman Bharat
50,654245,Tamil Nadu,EWS,Mudra Loan
33,717674,Uttar Pradesh,ST,Ayushman Bharat
59,96659,West Bengal,General,PM Awas Yojana
49,1086846,Rajasthan,General,PM Kisan
39,353511,Uttar Pradesh,ST,Stand Up India
49,168627,Gujarat,ST,PM Kisan
38,913325,Rajasthan,EWS,PM Kisan
59,416338,Karnataka,SC,Atal Pension Yojana
32,128962,Bihar,SC,PM Awas Yojana
47,1043719,Rajasthan,EWS,Atal Pension Yojana
46,1173870,Madhya Pradesh,SC,Ayushman Bharat
61,824078,Tamil Nadu,ST,Atal Pension Yojana
30,963730,Karnataka,SC,Ayushman Bharat
70,230629,Madhya Pradesh,SC,Atal Pension Yojana
67,358187,Gujarat,SC,Atal Pension Yojana
57,281744,Rajasthan,EWS,Atal Pension Yojana
57,441773,West Bengal,OBC,Atal Pension Yojana
65,1140666,Tamil Nadu,EWS,Atal Pension Yojana
21,1020061,Uttar Pradesh,EWS,National Scholarship
71,503488,Tamil Nadu,EWS,Atal Pension Yojana
37,157555,Rajasthan,EWS,PM Kisan
53,121133,Madhya Pradesh,SC,Ayushman Bharat
26,164837,Bihar,General,PM Kisan
21,103038,Rajasthan,General,Ayushman Bharat
64,567853,Maharashtra,General,Atal Pension Yojana
44,674827,Gujarat,OBC,National Scholarship
48,340828,Uttar Pradesh,General,PM Awas Yojana
69,1178325,Gujarat,OBC,Atal Pension Yojana
67,226630,Maharashtra,OBC,Atal Pension Yojana
75,418573,Tamil Nadu,OBC,Atal Pension Yojana
38,161324,Karnataka,ST,PM Kisan
58,303286,Maharashtra,General,Atal Pension Yojana
20,129665,Madhya Pradesh,ST,Ayushman Bharat
73,165318,Rajasthan,General,PM Kisan
29,308631,Madhya Pradesh,ST,National Scholarship
70,598613,Uttar Pradesh,ST,Atal Pension Yojana
28,972983,Gujarat,SC,Mudra Loan
54,496011,Madhya Pradesh,SC,National Scholarship
21,857983,West Bengal,OBC,Mudra Loan
72,378592,Madhya Pradesh,OBC,Atal Pension Yojana
18,548311,Maharashtra,General,National Scholarship
62,452214,Uttar Pradesh,ST,Atal Pension Yojana
30,790296,Uttar Pradesh,EWS,Mudra Loan
23,60140,West Bengal,OBC,PM Kisan
36,151365,Rajasthan,General,Ayushman Bharat
66,452213,Maharashtra,SC,Atal Pension Yojana
27,680624,Gujarat,EWS,National Scholarship
71,223005,Madhya Pradesh,SC,Atal Pension Yojana
56,695384,Rajasthan,ST,Atal Pension Yojana
35,76664,Maharashtra,ST,Ayushman Bharat
79,195733,Gujarat,OBC,PM Awas Yojana
58,282219,Bihar,General,Atal Pension Yojana
25,436008,Uttar Pradesh,OBC,National Scholarship
26,289236,West Bengal,OBC,National Scholarship
59,497084,West Bengal,ST,Atal Pension Yojana
35,631633,Tamil Nadu,EWS,Stand Up India
44,515860,Gujarat,SC,National Scholarship
74,859516,West Bengal,EWS,Atal Pension Yojana
22,1010718,Uttar Pradesh,General,National Scholarship
21,260260,Maharashtra,EWS,National Scholarship
45,183721,West Bengal,SC,Ayushman Bharat
62,514305,Rajasthan,SC,Atal Pension Yojana
53,786740,Karnataka,SC,Stand Up India
47,1111363,Maharashtra,SC,National Scholarship
43,356833,Uttar Pradesh,SC,PM Kisan
65,1191699,Uttar Pradesh,OBC,Atal Pension Yojana
35,1108567,Rajasthan,OBC,Atal Pension Yojana
27,985292,Karnataka,ST,Mudra Loan
28,1075493,Karnataka,SC,National Scholarship
34,531937,Tamil Nadu,General,Ayushman Bharat
49,413492,West Bengal,General,Mudra Loan
38,1041699,West Bengal,General,Stand Up India
45,261002,Madhya Pradesh,SC,Mudra Loan
29,613456,Karnataka,EWS,Mudra Loan
73,196384,Gujarat,ST,PM Kisan
80,653966,Tamil Nadu,OBC,Atal Pension Yojana
51,630360,Rajasthan,EWS,Mudra Loan
61,660665,Rajasthan,General,Atal Pension Yojana
42,366289,Uttar Pradesh,General,Stand Up India
43,523171,Karnataka,OBC,Mudra Loan
31,816513,Uttar Pradesh,EWS,PM Kisan
53,337964,Maharashtra,OBC,Ayushman Bharat
59,70258,Rajasthan,OBC,PM Kisan
74,82620,Rajasthan,OBC,PM Kisan
23,868987,Gujarat,OBC,National Scholarship
18,364871,Uttar Pradesh,General,Mudra Loan
58,741458,Karnataka,SC,Atal Pension Yojana
80,159244,Rajasthan,General,PM Awas Yojana
52,1071510,Maharashtra,EWS,PM Awas Yojana
41,67005,West Bengal,OBC,PM Awas Yojana
56,531829,Madhya Pradesh,OBC,Atal Pension Yojana
30,940039,Bihar,SC,Atal Pension Yojana
56,1036174,Madhya Pradesh,General,Atal Pension Yojana
64,1055414,Rajasthan,ST,Atal Pension Yojana
78,240573,Uttar Pradesh,ST,Atal Pension Yojana
80,1169969,Rajasthan,OBC,Atal Pension Yojana
20,653626,West Bengal,SC,National Scholarship
27,764040,Tamil Nadu,ST,Mudra Loan
18,1071387,Tamil Nadu,General,National Scholarship
31,249307,Maharashtra,SC,Stand Up India
63,944047,West Bengal,SC,Atal Pension Yojana
27,129308,Maharashtra,SC,PM Kisan
46,702892,Rajasthan,ST,National Scholarship
65,1104065,Uttar Pradesh,OBC,Atal Pension Yojana
42,240794,Bihar,General,National Scholarship
47,617029,Gujarat,ST,Ayushman Bharat
71,547227,Uttar Pradesh,General,Atal Pension Yojana
28,643354,Bihar,OBC,Mudra Loan
28,1041999,Tamil Nadu,EWS,National Scholarship
22,184161,Rajasthan,ST,PM Kisan
18,670712,Tamil Nadu,SC,Mudra Loan
69,111584,Tamil Nadu,ST,PM Awas Yojana
22,445368,Karnataka,General,Mudra Loan
27,712847,Karnataka,General,National Scholarship
44,697220,Bihar,OBC,Ayushman Bharat
54,649954,West Bengal,OBC,Ayushman Bharat
67,861748,Rajasthan,EWS,Atal Pension Yojana
37,730745,Rajasthan,EWS,Ayushman Bharat
54,884644,Karnataka,ST,PM Kisan
76,218577,Maharashtra,ST,Atal Pension Yojana
39,664967,Madhya Pradesh,ST,Mudra Loan
41,432630,West Bengal,EWS,Atal Pension Yojana
67,650882,West Bengal,EWS,Atal Pension Yojana
31,129227,Bihar,OBC,Ayushman Bharat
53,366595,Madhya Pradesh,SC,Ayushman Bharat
46,381037,Gujarat,SC,Mudra Loan
49,826993,West Bengal,SC,Mudra Loan
20,212553,Karnataka,ST,Mudra Loan
62,1141231,Karnataka,ST,Atal Pension Yojana
32,746431,Uttar Pradesh,ST,National Scholarship
75,239440,Bihar,General,Atal Pension Yojana
54,589110,West Bengal,EWS,Ayushman Bharat
47,641122,Tamil Nadu,SC,Ayushman Bharat
42,1027943,Gujarat,SC,National Scholarship
22,482385,Madhya Pradesh,OBC,National Scholarship
42,888818,Madhya Pradesh,EWS,Ayushman Bharat
69,635364,Gujarat,EWS,Atal Pension Yojana
47,209740,Tamil Nadu,General,National Scholarship
56,1114978,Bihar,ST,Atal Pension Yojana
28,1000852,Karnataka,ST,National Scholarship
22,711779,Bihar,OBC,National Scholarship
65,411592,Tamil Nadu,OBC,Atal Pension Yojana
32,220880,Karnataka,OBC,Ayushman Bharat
52,550013,Uttar Pradesh,SC,Ayushman Bharat
41,231728,Gujarat,ST,PM Kisan
58,959666,West Bengal,OBC,Atal Pension Yojana
18,175948,Gujarat,SC,PM Kisan
75,697331,Rajasthan,General,Atal Pension Yojana
32,390656,Uttar Pradesh,General,PM Kisan
66,131933,Tamil Nadu,EWS,Ayushman Bharat
29,386770,Tamil Nadu,General,Mudra Loan
63,309693,Uttar Pradesh,EWS,Atal Pension Yojana
21,882983,Karnataka,EWS,National Scholarship
44,653208,West Bengal,ST,Mudra Loan
64,191017,Tamil Nadu,SC,PM Kisan
47,597759,Gujarat,SC,Atal Pension Yojana
44,1110294,Maharashtra,SC,PM Kisan
22,756049,Gujarat,OBC,National Scholarship
34,1127073,Rajasthan,OBC,Atal Pension Yojana
70,758812,Uttar Pradesh,OBC,Atal Pension Yojana
51,991154,Tamil Nadu,SC,National Scholarship
55,987681,Uttar Pradesh,ST,PM Kisan
76,464940,Uttar Pradesh,General,Atal Pension Yojana
49,800828,Rajasthan,OBC,PM Awas Yojana
40,962780,Bihar,General,Mudra Loan
38,824334,Karnataka,SC,PM Kisan
73,907232,Tamil Nadu,OBC,Atal Pension Yojana
32,797248,Karnataka,ST,Atal Pension Yojana
41,925187,Karnataka,OBC,Ayushman Bharat
20,1164245,Rajasthan,SC,Mudra Loan
56,574147,West Bengal,General,Atal Pension Yojana
36,871602,Karnataka,General,National Scholarship
56,1132776,Karnataka,SC,Atal Pension Yojana
70,768543,Maharashtra,EWS,Atal Pension Yojana
63,864966,Maharashtra,OBC,Atal Pension Yojana
52,614507,Bihar,OBC,National Scholarship
53,466374,Tamil Nadu,SC,National Scholarship
28,468949,Maharashtra,EWS,Mudra Loan
27,502020,Tamil Nadu,SC,National Scholarship
56,148965,Tamil Nadu,EWS,PM Awas Yojana
72,908607,Rajasthan,EWS,Atal Pension Yojana
37,538357,West Bengal,OBC,Mudra Loan
25,199008,Tamil Nadu,OBC,PM Kisan
63,827361,Karnataka,EWS,Atal Pension Yojana
66,827125,Karnataka,OBC,Atal Pension Yojana
26,145812,Bihar,OBC,Ayushman Bharat
65,660450,Rajasthan,OBC,Atal Pension Yojana
50,836407,Karnataka,General,Ayushman Bharat
50,660431,Maharashtra,General,PM Kisan
62,232655,Madhya Pradesh,OBC,Atal Pension Yojana
46,1058841,Maharashtra,SC,PM Awas Yojana
59,323978,West Bengal,General,Atal Pension Yojana
61,203271,Bihar,OBC,Atal Pension Yojana
54,172000,Bihar,SC,PM Kisan
68,727729,Uttar Pradesh,General,Atal Pension Yojana
39,1036229,Gujarat,ST,Atal Pension Yojana
51,533719,Uttar Pradesh,ST,National Scholarship
24,750586,Tamil Nadu,SC,National Scholarship
32,169043,Tamil Nadu,EWS,Ayushman Bharat
30,1093672,Rajasthan,EWS,Atal Pension Yojana
74,413354,Rajasthan,General,Atal Pension Yojana
31,444968,Madhya Pradesh,OBC,PM Awas Yojana
77,1064291,Maharashtra,EWS,Atal Pension Yojana
36,817105,Madhya Pradesh,EWS,PM Awas Yojana
32,51867,Bihar,EWS,Ayushman Bharat
24,744405,Tamil Nadu,ST,Mudra Loan
34,622990,Karnataka,General,Stand Up India
28,112564,Karnataka,EWS,PM Awas Yojana
31,359378,Madhya Pradesh,EWS,Mudra Loan
